"Contig_number","Mapped_Reads_Number"
"NODE_8323_length_1981_cov_3.830218||full",78
"NODE_630_length_11235_cov_4.203488||full",685
"NODE_2666_length_4481_cov_13.814053||full",810
"NODE_15381_length_1326_cov_2.634146||full",40
"NODE_16112_length_1289_cov_3.588331||full",104
"NODE_22042_length_1068_cov_2.786772||full",44
"NODE_8508_length_1950_cov_2.221636||full",77
"NODE_20066_length_1130_cov_1.823256||full",21
"NODE_23616_length_1024_cov_2.575851||full",29
"NODE_4011_length_3337_cov_9.574040||full",886
"NODE_15286_length_1330_cov_12.192157||full",163
"NODE_13000_length_1474_cov_5.547569||full",88
"NODE_11751_length_1575_cov_5.679605||full",314
"NODE_13347_length_1450_cov_4.129032||full",60
"NODE_19020_length_1167_cov_2.513489||full",75
"NODE_13795_length_1420_cov_1.711355||full",27
"NODE_24013_length_1014_cov_1.766423||full",21
"NODE_11638_length_1585_cov_14.431373||full",211
"NODE_16615_length_1266_cov_2.186623||full",36
"NODE_18155_length_1198_cov_3.359580||full",48
"NODE_5801_length_2555_cov_5.440800||full",165
"NODE_7171_length_2198_cov_5.070929||full",129
"NODE_16091_length_1290_cov_2.821053||full",60
"NODE_5667_length_2598_cov_5.088871||full",141
"NODE_21809_length_1076_cov_1.280118||full",33
"NODE_24513_length_1001_cov_2.131078||lt2gene",21
"NODE_6647_length_2313_cov_2.582374||full",61
"NODE_10302_length_1718_cov_5.874925||full",183
"NODE_23329_length_1031_cov_2.908811||full",36
"NODE_13472_length_1442_cov_3.382120||full",55
"NODE_18047_length_1202_cov_3.143854||full",53
"NODE_8008_length_2030_cov_52.054177||lt2gene",948
"NODE_251_length_17880_cov_6.506704||full",1369
"NODE_4102_length_3283_cov_3.320942||full",133
"NODE_508_length_12808_cov_7.305810||full",1189
"NODE_10674_length_1676_cov_11.207896||full",225
"NODE_19621_length_1145_cov_2.642202||lt2gene",30
"NODE_12374_length_1521_cov_2.750341||full",42
"NODE_6632_length_2317_cov_2.742263||full",61
